country,is_blend,is_dry,is_red,is_rose,is_sparkling,is_sweet,is_white,price,province,region_1,taster_name,variety,year,rating
New Zealand,0,0,0,0,0,0,0,35.0,Waiheke Island,Napa Valley,Joe Czerwinski,Chardonnay,2010.0,3
US,1,0,0,0,0,0,0,42.0,Washington,Red Mountain,Sean P. Sullivan,Bordeaux-style Red Blend,2013.0,3
US,0,0,0,0,0,0,0,65.0,California,St. Helena,Roger Voss,Cabernet Sauvignon,2008.0,3
US,0,0,1,1,0,0,0,15.0,Oregon,Willamette Valley,Paul Gregutt,Rosé,2011.0,1
Chile,0,0,0,0,0,0,0,33.0,Casablanca Valley,Napa Valley,Michael Schachner,Sauvignon Blanc,2011.0,3
US,0,0,0,0,0,0,0,86.0,Oregon,Willamette Valley,Paul Gregutt,Pinot Noir,2013.0,4
Portugal,0,0,1,0,0,0,0,10.0,Lisboa,Napa Valley,Roger Voss,Portuguese Red,2015.0,1
US,0,0,0,0,0,0,0,30.0,California,Santa Ynez Valley,Matt Kettmann,Sauvignon Blanc,2013.0,3
Spain,1,0,0,0,0,0,0,18.0,Catalonia,Cava,Michael Schachner,Sparkling Blend,2011.0,2
Spain,0,1,1,0,0,0,0,17.0,Northern Spain,Vino de la Tierra del Bajo Aragón,Michael Schachner,Garnacha,2005.0,1
Italy,0,0,1,0,0,0,0,80.0,Piedmont,Barolo,Kerin O’Keefe,Nebbiolo,2012.0,3
South Africa,0,0,0,0,0,0,0,12.0,Robertson,Napa Valley,Roger Voss,Chardonnay,2001.0,3
Italy,1,1,1,0,0,0,0,19.0,Tuscany,Chianti Classico,Kerin O’Keefe,Red Blend,2011.0,2
US,0,0,1,0,0,1,0,15.0,California,Oakville,Virginie Boone,Merlot,2013.0,2
US,0,0,1,0,0,0,0,35.0,Washington,Wahluke Slope,Paul Gregutt,Syrah,2009.0,3
France,0,1,0,0,0,1,1,25.0,Alsace,Alsace,Roger Voss,Riesling,2012.0,3
US,0,0,0,0,0,1,0,20.0,California,Russian River Valley,Roger Voss,Chardonnay,2010.0,3
US,0,0,1,0,0,0,0,35.0,California,Carneros-Napa Valley,Virginie Boone,Pinot Noir,2012.0,2
US,0,0,1,0,0,0,0,32.0,California,Napa Valley,Roger Voss,Cabernet Franc,2009.0,1
US,0,0,0,0,0,0,0,48.0,California,Russian River Valley,Virginie Boone,Pinot Noir,2015.0,4
US,0,1,0,0,0,1,0,7.0,California,Monterey County,Roger Voss,Merlot,2006.0,1
Austria,0,0,0,0,0,0,0,18.0,Burgenland,Napa Valley,Roger Voss,Sauvignon Blanc,2008.0,1
Spain,0,1,0,0,0,0,0,19.0,Northern Spain,Getariako Txakolina,Michael Schachner,Hondarrabi Zuri,2015.0,2
Italy,0,0,1,0,0,0,1,20.0,Piedmont,Barbera d'Alba,Kerin O’Keefe,Barbera,2012.0,2
Italy,1,0,0,0,0,0,0,13.0,Northeastern Italy,Vigneti delle Dolomiti,Roger Voss,Red Blend,2009.0,2
US,1,0,1,0,0,0,0,11.0,Washington,Columbia Valley (WA),Paul Gregutt,Cabernet Sauvignon-Merlot,1999.0,1
France,0,0,0,0,0,0,0,61.0,Champagne,Champagne,Roger Voss,Chardonnay,2011.0,4
US,0,0,1,0,0,0,0,60.0,California,Napa Valley,Virginie Boone,Cabernet Sauvignon,2013.0,2
