country,is_blend,is_dry,is_red,is_rose,is_sparkling,is_sweet,is_white,price,province,region_1,taster_name,variety,year,rating
Chile,0,0,1,0,0,0,0,9.0,Colchagua Valley,Napa Valley,Roger Voss,Cabernet Sauvignon,1999.0,1
Greece,0,0,0,1,0,0,1,16.0,Mantinia,Napa Valley,Susan Kostrzewa,Moschofilero,2013.0,3
US,0,0,0,0,0,0,1,24.0,California,Calistoga,Virginie Boone,Sauvignon Blanc,2014.0,3
US,1,1,1,0,0,0,0,11.0,California,California,Jim Gordon,Red Blend,2012.0,3
Italy,0,1,1,0,0,0,0,24.0,Piedmont,Langhe,Kerin O’Keefe,Nebbiolo,2012.0,2
France,1,0,1,0,0,0,0,45.0,Languedoc-Roussillon,Corbières-Boutenac,Lauren Buzzeo,Rhône-style Red Blend,2011.0,3
France,0,0,0,0,0,0,0,40.0,Loire Valley,Sancerre,Roger Voss,Sauvignon Blanc,2015.0,3
US,0,1,1,0,0,0,0,24.0,California,Santa Maria Valley,Roger Voss,Pinot Noir,2009.0,1
US,1,1,1,0,0,0,0,27.0,New Mexico,New Mexico,Susan Kostrzewa,Red Blend,2006.0,1
France,0,0,0,0,0,0,0,24.0,Beaujolais,Morgon,Roger Voss,Gamay,2014.0,4
France,0,0,0,0,0,0,0,13.0,Loire Valley,Touraine,Roger Voss,Sauvignon Blanc,2015.0,1
Austria,0,0,0,0,0,0,0,20.0,Burgenland,Napa Valley,Roger Voss,Blaufränkisch,2011.0,3
US,1,0,1,0,0,0,0,14.0,Washington,Columbia Valley (WA),Paul Gregutt,Red Blend,2012.0,2
US,0,0,0,0,0,0,0,32.0,Washington,Columbia Valley (WA),Paul Gregutt,Cabernet Sauvignon,2009.0,3
France,0,0,0,0,0,1,0,26.0,Alsace,Alsace,Anne Krebiehl MW,Gewürztraminer,2014.0,3
Italy,0,0,0,0,0,0,1,15.0,Veneto,Soave Classico,Roger Voss,Garganega,2011.0,1
New Zealand,0,1,0,0,0,0,0,35.0,Central Otago,Napa Valley,Joe Czerwinski,Pinot Noir,2014.0,2
France,1,0,0,0,0,0,0,10.0,Southwest France,Côtes de Gascogne,Roger Voss,Colombard-Sauvignon Blanc,2013.0,1
South Africa,0,0,0,0,0,0,0,82.0,Stellenbosch,Napa Valley,Susan Kostrzewa,Shiraz,2004.0,3
France,0,0,1,0,0,0,0,12.0,France Other,Vin de France,Roger Voss,Pinot Noir,2015.0,1
Italy,0,0,0,0,0,0,0,58.0,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Sangiovese,2011.0,2
Spain,1,0,1,0,0,0,0,12.0,Northern Spain,Somontano,Michael Schachner,Tempranillo-Cabernet Sauvignon,2012.0,2
US,0,0,0,0,0,0,0,16.0,California,Paso Robles,Matt Kettmann,Mission,2014.0,3
US,0,0,0,0,0,0,0,11.0,Idaho,Napa Valley,Paul Gregutt,Riesling,2011.0,3
Argentina,0,0,0,0,0,0,0,50.0,Mendoza Province,Uco Valley,Michael Schachner,Chardonnay,2012.0,3
France,1,0,1,0,0,0,0,25.0,Bordeaux,Bordeaux Supérieur,Roger Voss,Bordeaux-style Red Blend,2010.0,2
Australia,0,0,0,0,0,0,0,17.0,South Australia,South Australia,Joe Czerwinski,Chardonnay,2008.0,2
South Africa,0,0,0,0,0,0,0,15.0,Western Cape,Napa Valley,Lauren Buzzeo,Shiraz,2010.0,2
US,0,0,0,0,0,1,1,15.0,California,Santa Barbara County,Roger Voss,Pinot Grigio,2011.0,1
US,1,0,1,0,0,0,0,29.0,Washington,Red Mountain,Sean P. Sullivan,Red Blend,2011.0,2
US,0,0,0,1,0,0,0,24.0,California,California,Roger Voss,Sangiovese,2011.0,2
France,0,1,0,0,0,0,0,66.0,Alsace,Alsace,Anne Krebiehl MW,Pinot Gris,2008.0,3
Croatia,0,0,0,0,0,0,1,25.0,Korčula,Napa Valley,Jeff Jenssen,Posip,2015.0,2
Argentina,0,0,0,0,0,0,0,13.0,Other,Salta,Michael Schachner,Torrontés,2014.0,2
US,0,1,0,0,0,0,0,33.0,California,Sierra Foothills,Jim Gordon,Zinfandel,2013.0,3
US,0,1,0,0,0,0,0,16.0,New York,Finger Lakes,Anna Lee C. Iijima,Riesling,2015.0,2
Austria,0,0,0,0,0,1,0,15.0,Burgenland,Napa Valley,Anne Krebiehl MW,Scheurebe,2010.0,3
US,0,0,1,0,0,0,0,85.0,California,Napa Valley,Virginie Boone,Cabernet Sauvignon,2011.0,3
Germany,0,0,0,0,0,1,0,54.0,Mosel,Napa Valley,Anna Lee C. Iijima,Riesling,2010.0,3
Austria,0,0,0,0,0,0,0,13.0,Niederösterreich,Napa Valley,Anne Krebiehl MW,Rosé,2013.0,2
US,1,1,1,0,0,1,0,140.0,California,Napa Valley,Roger Voss,Bordeaux-style Red Blend,2007.0,4
Austria,0,0,1,0,0,0,0,20.0,Thermenregion,Napa Valley,Roger Voss,Pinot Noir,2011.0,1
US,1,1,0,0,0,0,0,25.0,Idaho,Napa Valley,Sean P. Sullivan,Red Blend,2011.0,1
US,0,0,0,0,0,0,0,28.0,Washington,Columbia Valley (WA),Paul Gregutt,Syrah,2011.0,2
Argentina,0,0,1,0,0,0,0,10.0,Mendoza Province,Mendoza,Michael Schachner,Malbec,2012.0,1
Argentina,0,0,0,0,0,1,0,12.0,Mendoza Province,Mendoza,Michael Schachner,Malbec,2010.0,2
US,1,0,1,0,0,0,0,275.0,California,Napa Valley,Roger Voss,Bordeaux-style Red Blend,2005.0,4
Spain,1,0,0,0,0,0,0,45.0,Levante,Jumilla,Michael Schachner,Red Blend,2009.0,3
France,1,0,0,0,0,1,0,70.0,Bordeaux,Saint-Julien,Roger Voss,Bordeaux-style Red Blend,2001.0,3
Italy,1,0,0,1,0,0,0,23.0,Sicily & Sardinia,Sicilia,Roger Voss,White Blend,2010.0,2
France,1,0,0,0,0,0,0,12.0,Bordeaux,Bordeaux Blanc,Roger Voss,Bordeaux-style White Blend,2014.0,1
France,0,0,0,0,0,0,0,41.0,Alsace,Alsace,Anne Krebiehl MW,Gewürztraminer,2015.0,3
France,1,0,1,1,0,0,0,25.0,Loire Valley,Crémant de Loire,Roger Voss,Sparkling Blend,2011.0,2
France,0,0,0,0,0,0,0,20.0,Alsace,Alsace,Roger Voss,Riesling,2010.0,2
US,1,0,1,0,1,0,0,110.0,California,Napa-Mendocino-Sonoma-Marin,Roger Voss,Sparkling Blend,2004.0,4
Italy,0,0,0,0,0,0,0,80.0,Tuscany,Chianti Rufina,Kerin O’Keefe,Sangiovese,2008.0,2
Portugal,0,0,0,0,0,0,1,25.0,Douro,Napa Valley,Roger Voss,Portuguese White,2013.0,2
US,1,0,1,0,0,0,0,53.0,Washington,Horse Heaven Hills,Paul Gregutt,Red Blend,2007.0,4
US,0,0,0,0,0,0,0,50.0,Oregon,Eola-Amity Hills,Paul Gregutt,Pinot Noir,2010.0,3
US,0,1,1,0,0,0,0,59.0,California,Sta. Rita Hills,Matt Kettmann,Pinot Noir,2013.0,3
France,0,0,0,0,0,0,0,25.0,Alsace,Alsace,Roger Voss,Riesling,2009.0,2
France,0,0,0,0,0,0,0,25.0,Loire Valley,Muscadet,Roger Voss,Melon,2010.0,1
South Africa,0,0,1,0,0,1,1,40.0,Elgin,Napa Valley,Lauren Buzzeo,Pinot Noir,2008.0,2
France,1,1,1,0,0,0,0,60.0,Champagne,Champagne,Roger Voss,Champagne Blend,2011.0,3
Chile,0,1,0,0,0,1,1,12.0,Casablanca Valley,Napa Valley,Michael Schachner,Sauvignon Blanc,2009.0,2
France,0,0,1,0,0,0,0,10.0,Languedoc-Roussillon,Vin de Pays d'Oc,Roger Voss,Pinot Noir,2006.0,1
US,0,0,0,0,0,1,0,42.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Syrah,2004.0,3
South Africa,0,0,0,0,0,0,0,20.0,Western Cape,Napa Valley,Lauren Buzzeo,Chardonnay,2014.0,3
US,0,1,0,0,0,0,0,28.0,Oregon,Rogue Valley,Paul Gregutt,Cabernet Sauvignon,2013.0,1
US,1,0,0,0,0,0,1,14.0,Washington,Columbia Valley (WA),Paul Gregutt,White Blend,2009.0,1
US,1,0,1,0,0,0,0,55.0,Washington,Red Mountain,Paul Gregutt,Bordeaux-style Red Blend,2009.0,4
Chile,0,0,0,0,0,0,0,50.0,Maule Valley,Napa Valley,Michael Schachner,Carmenère,2010.0,3
Austria,0,0,0,0,0,0,0,30.0,Weinviertel,Napa Valley,Anne Krebiehl MW,Grüner Veltliner,2013.0,2
US,0,0,0,0,0,1,1,15.0,California,Monterey,Roger Voss,Sauvignon Blanc,2007.0,1
US,0,0,0,0,0,0,0,55.0,California,Napa Valley,Roger Voss,Syrah,2009.0,2
US,0,0,1,0,0,0,0,45.0,California,Sonoma Mountain,Virginie Boone,Cabernet Sauvignon,2011.0,2
Italy,1,0,0,0,0,0,0,25.0,Sicily & Sardinia,Sicilia,Roger Voss,Red Blend,2008.0,1
US,0,1,0,0,0,0,1,27.0,California,Napa Valley,Roger Voss,Sauvignon Blanc,2010.0,2
US,1,0,1,0,0,0,0,16.0,Oregon,Southern Oregon,Paul Gregutt,Red Blend,2015.0,3
Chile,0,0,0,0,0,0,0,7.0,Central Valley,Napa Valley,Michael Schachner,Chardonnay,2001.0,1
Italy,0,0,1,0,0,0,0,25.0,Piedmont,Barbera d'Asti Superiore,Kerin O’Keefe,Barbera,2013.0,2
France,0,0,0,0,0,1,1,103.0,Loire Valley,Vouvray,Roger Voss,Chenin Blanc,1995.0,2
France,1,0,1,0,0,0,0,30.0,Bordeaux,Saint-Estèphe,Roger Voss,Bordeaux-style Red Blend,2009.0,3
Italy,0,0,1,0,0,0,0,14.0,Sicily & Sardinia,Monica di Sardegna,Roger Voss,Monica,2010.0,1
US,0,1,0,0,0,0,0,35.0,California,St. Helena,Virginie Boone,Chenin Blanc,2014.0,2
Italy,0,1,1,0,0,0,0,198.0,Veneto,Amarone della Valpolicella Classico,Roger Voss,"Corvina, Rondinella, Molinara",2001.0,4
France,1,1,0,0,0,0,0,20.0,Bordeaux,Bordeaux Supérieur,Roger Voss,Bordeaux-style Red Blend,2009.0,1
US,0,0,1,0,0,0,0,24.0,California,Sonoma County,Virginie Boone,Cabernet Sauvignon,2013.0,3
US,0,0,1,0,0,0,0,45.0,California,Sierra Foothills,Roger Voss,Meritage,2005.0,3
New Zealand,0,0,0,0,0,0,0,29.0,Marlborough,Napa Valley,Joe Czerwinski,Pinot Noir,2006.0,2
US,0,0,1,0,0,0,0,25.0,Oregon,Willamette Valley,Paul Gregutt,Pinot Noir,2012.0,2
France,0,1,1,0,0,0,0,40.0,Alsace,Alsace,Anne Krebiehl MW,Pinot Noir,2015.0,1
Italy,0,0,0,0,0,0,0,25.0,Piedmont,Barbera d'Asti Superiore,Roger Voss,Barbera,2007.0,3
US,0,1,0,0,0,0,0,15.0,California,Monterey,Roger Voss,Riesling,2008.0,2
Spain,0,0,0,0,0,0,0,17.0,Galicia,Ribeira Sacra,Michael Schachner,Mencía,2012.0,3
US,1,0,0,0,0,0,0,30.0,Washington,Walla Walla Valley (WA),Sean P. Sullivan,Red Blend,2012.0,3
France,0,0,0,0,0,0,0,13.0,Alsace,Alsace,Anne Krebiehl MW,Sylvaner,2015.0,2
Spain,0,0,0,0,0,0,0,34.0,Northern Spain,Toro,Michael Schachner,Tinta de Toro,2004.0,3
France,0,0,0,0,0,0,0,18.0,Provence,Côtes de Provence,Roger Voss,Rosé,2014.0,1
US,0,0,0,0,0,0,0,30.0,California,Carneros,Virginie Boone,Chardonnay,2014.0,2
Israel,0,0,1,0,0,0,0,28.0,Shomron,Napa Valley,Mike DeSimone,Cabernet Sauvignon,2012.0,3
US,0,0,0,0,0,0,0,50.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Grenache,2012.0,3
US,0,0,1,0,0,0,0,37.0,California,Sonoma Valley,Virginie Boone,Zinfandel,2013.0,2
US,0,0,0,0,0,1,0,25.0,California,Santa Lucia Highlands,Roger Voss,Chardonnay,2009.0,1
Italy,0,0,1,0,0,1,0,25.0,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Sangiovese,2009.0,2
France,0,0,1,0,0,0,0,195.0,Burgundy,Corton,Roger Voss,Pinot Noir,2005.0,4
France,1,0,0,0,0,1,0,24.0,Bordeaux,Côtes de Bordeaux,Roger Voss,Bordeaux-style Red Blend,2007.0,2
Italy,1,0,1,0,0,0,0,79.0,Veneto,Amarone della Valpolicella,Kerin O’Keefe,Red Blend,2012.0,3
US,1,0,0,0,0,0,0,23.0,Washington,Columbia Valley (WA),Paul Gregutt,Rhône-style Red Blend,2010.0,1
Argentina,0,0,0,0,0,0,0,15.0,Mendoza Province,Mendoza,Michael Schachner,Bonarda,2012.0,1
Italy,0,0,0,0,0,1,0,25.0,Piedmont,Barbaresco,Roger Voss,Nebbiolo,2007.0,4
US,0,0,0,0,0,0,1,35.0,California,Russian River Valley,Virginie Boone,Sauvignon Blanc,2014.0,3
Austria,0,0,0,0,0,0,0,16.0,Niederösterreich,Napa Valley,Roger Voss,Grüner Veltliner,2011.0,2
US,1,1,1,0,1,0,0,52.0,California,Santa Lucia Highlands,Roger Voss,Sparkling Blend,2007.0,3
Italy,0,0,0,0,0,1,0,25.0,Piedmont,Barolo,Roger Voss,Nebbiolo,2005.0,3
US,1,0,0,0,0,0,0,75.0,California,Napa Valley,Virginie Boone,Bordeaux-style Red Blend,2013.0,3
US,0,0,0,0,0,0,1,13.0,Texas,Texas,Alexander Peartree,Piquepoul Blanc,2015.0,2
Spain,0,1,0,0,0,0,0,32.0,Northern Spain,Ribera del Duero,Michael Schachner,Tempranillo,2011.0,3
Portugal,0,0,0,0,0,0,0,25.0,Douro,Napa Valley,Roger Voss,Portuguese White,2009.0,2
Italy,1,1,1,0,0,0,0,50.0,Tuscany,Toscana,Kerin O’Keefe,Red Blend,2011.0,3
Italy,1,1,1,0,0,0,0,19.0,Sicily & Sardinia,Sicilia,Kerin O’Keefe,Red Blend,2011.0,2
Croatia,0,0,1,0,0,0,0,25.0,Peljesac,Napa Valley,Anna Lee C. Iijima,Plavac Mali,2008.0,2
Austria,0,0,0,0,0,0,0,25.0,Kremstal,Napa Valley,Anne Krebiehl MW,Grüner Veltliner,2012.0,3
Italy,0,0,0,0,0,0,0,79.0,Piedmont,Barolo,Kerin O’Keefe,Nebbiolo,2012.0,3
US,0,0,0,0,0,0,0,90.0,Oregon,Dundee Hills,Paul Gregutt,Pinot Noir,2013.0,3
France,0,0,0,0,0,0,0,49.0,Loire Valley,Anjou Villages Brissac,Roger Voss,Cabernet Sauvignon,2009.0,3
US,1,0,0,0,0,0,1,30.0,California,Napa Valley,Virginie Boone,Semillon-Sauvignon Blanc,2012.0,3
US,0,1,1,1,0,0,0,44.0,California,Sta. Rita Hills,Matt Kettmann,Pinot Noir,2014.0,3
Italy,0,1,0,1,0,0,0,38.0,Tuscany,Vino Nobile di Montepulciano,Kerin O’Keefe,Sangiovese,2012.0,2
Austria,0,0,0,0,0,0,0,14.0,Kamptal,Napa Valley,Anne Krebiehl MW,Riesling,2014.0,3
US,0,0,1,0,0,0,0,60.0,California,Santa Cruz Mountains,Matt Kettmann,Pinot Noir,2014.0,3
France,1,0,0,0,0,1,0,375.0,Bordeaux,Pomerol,Roger Voss,Bordeaux-style Red Blend,2009.0,4
Austria,0,0,0,0,0,0,0,18.0,Kremstal,Napa Valley,Anne Krebiehl MW,Grüner Veltliner,2015.0,2
US,0,0,0,0,0,0,0,13.0,New York,North Fork of Long Island,Joe Czerwinski,Pinot Blanc,1998.0,1
Italy,0,0,1,0,0,0,0,16.0,Sicily & Sardinia,Sicilia,Roger Voss,Nero d'Avola,2009.0,2
US,0,0,1,0,0,0,1,38.0,California,Santa Cruz Mountains,Matt Kettmann,Cabernet Sauvignon,2013.0,3
US,0,0,0,0,0,0,0,18.0,California,Napa Valley,Roger Voss,Sauvignon Blanc,2012.0,1
US,0,0,1,0,0,0,0,50.0,California,Carneros,Virginie Boone,Pinot Noir,2015.0,3
US,0,0,0,0,0,0,1,28.0,California,Temecula Valley,Matt Kettmann,Falanghina,2015.0,3
US,0,0,0,0,0,0,0,17.0,Oregon,Oregon,Paul Gregutt,Pinot Noir,2013.0,2
France,1,0,0,0,0,0,0,27.0,Champagne,Champagne,Roger Voss,Champagne Blend,2011.0,3
Chile,0,1,0,0,0,0,1,11.0,Maule Valley,Napa Valley,Michael Schachner,Chardonnay,2015.0,1
Italy,1,1,1,0,0,0,0,25.0,Piedmont,Bramaterra,Kerin O’Keefe,Red Blend,2008.0,3
US,0,0,1,0,0,0,0,13.0,California,Lodi,Jim Gordon,Malbec,2012.0,2
US,0,1,0,0,0,0,0,40.0,New York,North Fork of Long Island,Anna Lee C. Iijima,Sémillon,2013.0,2
US,0,1,0,0,0,1,0,21.0,Oregon,Willamette Valley,Paul Gregutt,Pinot Gris,2013.0,3
France,1,0,0,0,0,0,0,25.0,Bordeaux,Pessac-Léognan,Roger Voss,Bordeaux-style White Blend,2009.0,3
US,0,0,0,0,0,0,0,65.0,California,Sonoma Coast,Virginie Boone,Chardonnay,2012.0,3
Greece,0,0,0,0,0,0,1,39.0,Epanomi,Napa Valley,Susan Kostrzewa,Viognier,2010.0,1
Chile,0,0,1,0,0,1,0,20.0,Central Valley,Napa Valley,Michael Schachner,Cabernet Sauvignon,2011.0,0
US,0,0,1,0,0,0,0,44.0,California,Russian River Valley,Virginie Boone,Pinot Noir,2011.0,3
US,1,0,1,0,0,0,0,36.0,California,Carneros-Napa Valley,Virginie Boone,Red Blend,2013.0,2
US,0,0,0,0,0,0,0,70.0,California,Mt. Harlan,Roger Voss,Pinot Noir,2007.0,3
US,0,1,0,0,0,0,0,30.0,Washington,Lake Chelan,Paul Gregutt,Malbec,2010.0,3
US,0,0,0,0,0,0,1,16.0,California,Russian River Valley,Virginie Boone,Chardonnay,2014.0,2
US,0,0,1,0,0,0,0,95.0,California,Sonoma Coast,Virginie Boone,Pinot Noir,2013.0,4
Argentina,0,0,0,0,0,0,0,12.0,Other,Calchaquí Valley,Michael Schachner,Rosé,2014.0,0
US,0,0,0,0,0,1,0,30.0,California,Santa Cruz Mountains,Matt Kettmann,Chardonnay,2015.0,2
Argentina,0,0,0,0,0,0,0,13.0,Mendoza Province,Mendoza,Michael Schachner,Malbec,2013.0,1
Spain,1,0,0,0,0,1,0,12.0,Northern Spain,Rioja,Michael Schachner,White Blend,2006.0,1
US,1,0,0,0,0,1,1,16.0,Washington,Columbia Valley (WA),Paul Gregutt,White Blend,2011.0,2
Chile,0,0,0,0,0,1,0,18.0,Maule Valley,Napa Valley,Michael Schachner,Carignan,2009.0,3
Australia,0,1,0,0,0,0,0,22.0,Western Australia,Mount Barker,Roger Voss,Shiraz,2005.0,2
France,0,0,0,0,0,0,0,16.0,Beaujolais,Morgon,Roger Voss,Gamay,2013.0,2
US,0,0,0,0,0,0,0,36.0,California,Mendocino County,Virginie Boone,Viognier,2011.0,2
Germany,0,0,0,0,0,1,0,12.0,Mosel,Napa Valley,Anna Lee C. Iijima,Riesling,2015.0,2
France,1,0,0,0,0,0,0,15.0,Bordeaux,Bordeaux Blanc,Roger Voss,Bordeaux-style White Blend,2016.0,2
Austria,0,1,0,0,0,0,0,25.0,Wachau,Napa Valley,Anne Krebiehl MW,Pinot Blanc,2016.0,3
Italy,0,0,0,1,0,0,1,19.0,Central Italy,Terre di Chieti,Roger Voss,Pecorino,2010.0,2
US,0,1,0,0,0,0,0,18.0,California,Dry Creek Valley,Roger Voss,Zinfandel,2008.0,1
Portugal,0,0,0,0,0,0,0,112.0,Madeira,Napa Valley,Roger Voss,Tinta Negra Mole,1995.0,3
US,0,1,0,0,0,1,0,15.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Sémillon,2013.0,2
US,0,0,0,0,0,0,0,45.0,California,Napa Valley,Roger Voss,Cabernet Sauvignon,2011.0,2
Italy,0,0,0,0,0,0,0,28.0,Piedmont,Napa Valley,Kerin O’Keefe,Barbera,2014.0,3
France,0,0,0,0,0,0,0,44.0,Southwest France,Cahors,Roger Voss,Malbec,2007.0,2
South Africa,0,0,0,0,0,0,0,10.0,Western Cape,Napa Valley,Susan Kostrzewa,Chardonnay,2009.0,2
France,1,0,1,0,0,0,0,33.0,Bordeaux,Canon-Fronsac,Roger Voss,Bordeaux-style Red Blend,2011.0,1
France,0,0,1,0,0,0,0,25.0,Burgundy,Savigny-lès-Beaune,Roger Voss,Pinot Noir,2014.0,3
US,0,1,0,0,0,0,0,16.0,California,Santa Barbara County,Roger Voss,Chardonnay,2011.0,1
Spain,0,0,0,0,0,0,0,18.0,Northern Spain,Rioja,Michael Schachner,Viura,2014.0,1
France,1,0,1,0,0,0,0,13.0,Rhône Valley,Côtes du Rhône,Joe Czerwinski,Rhône-style Red Blend,2009.0,3
US,0,0,0,0,0,0,0,30.0,California,Sonoma Mountain,Roger Voss,Chardonnay,2008.0,1
Spain,1,0,0,0,0,0,1,15.0,Catalonia,Cava,Michael Schachner,Sparkling Blend,2007.0,2
France,0,0,0,0,0,0,0,32.0,Burgundy,Pouilly-Fuissé,Roger Voss,Chardonnay,2012.0,1
Italy,0,0,1,0,0,0,0,28.0,Tuscany,Maremma Toscana,Kerin O’Keefe,Sangiovese,2012.0,3
France,0,0,1,0,0,0,0,28.0,Southwest France,Cahors,Roger Voss,Malbec,2016.0,2
US,0,0,1,0,0,0,0,28.0,California,Bennett Valley,Virginie Boone,Syrah,2014.0,3
France,0,0,0,0,0,0,0,25.0,Alsace,Alsace,Roger Voss,Pinot Blanc,2010.0,1
US,0,1,0,0,0,0,0,50.0,California,Sonoma Coast,Roger Voss,Pinot Noir,2008.0,1
US,0,0,0,0,0,0,0,50.0,California,Yountville,Virginie Boone,Cabernet Sauvignon,2012.0,3
France,0,0,1,1,0,0,1,13.0,Southwest France,Côtes de Gascogne,Roger Voss,Rosé,2012.0,1
US,0,0,0,0,0,0,0,45.0,California,Sta. Rita Hills,Matt Kettmann,Chardonnay,2014.0,1
Spain,0,0,1,0,0,0,0,15.0,Levante,Jumilla,Michael Schachner,Monastrell,2014.0,2
US,0,0,1,0,0,0,0,30.0,California,Alexander Valley,Virginie Boone,Grenache,2014.0,2
US,0,0,1,0,0,0,0,80.0,Washington,Red Mountain,Paul Gregutt,Syrah,2010.0,4
US,0,1,0,0,0,0,0,14.0,Oregon,Rogue Valley,Sean P. Sullivan,Pinot Gris,2012.0,1
France,0,1,1,0,0,0,0,20.0,Southwest France,Cahors,Roger Voss,Malbec,2011.0,3
US,1,0,1,0,0,0,0,55.0,Washington,Columbia Valley (WA),Paul Gregutt,Bordeaux-style Red Blend,2011.0,3
South Africa,1,1,1,0,0,0,0,25.0,Simonsberg-Stellenbosch,Napa Valley,Lauren Buzzeo,Bordeaux-style Red Blend,2013.0,3
Argentina,1,0,0,0,0,0,0,50.0,Mendoza Province,Mendoza,Michael Schachner,Red Blend,2004.0,2
France,0,0,0,0,0,0,0,15.0,Beaujolais,Brouilly,Roger Voss,Gamay,2010.0,1
US,1,0,0,0,0,1,0,25.0,North Carolina,North Carolina,Anna Lee C. Iijima,Bordeaux-style Red Blend,2006.0,1
US,0,0,1,0,0,1,0,75.0,California,Napa Valley,Roger Voss,Cabernet Sauvignon,2007.0,3
France,1,1,0,0,0,0,0,15.0,Bordeaux,Bordeaux,Roger Voss,Bordeaux-style Red Blend,2012.0,2
US,0,0,0,0,0,0,0,65.0,California,St. Helena,Roger Voss,Cabernet Sauvignon,2010.0,3
US,1,1,0,0,0,0,0,30.0,California,California,Jim Gordon,White Blend,2014.0,2
Italy,1,0,0,0,0,0,1,25.0,Italy Other,Vino Spumante,Kerin O’Keefe,Sparkling Blend,2011.0,1
US,0,0,0,0,0,0,0,13.0,California,California,Roger Voss,Zinfandel,1998.0,1
US,0,0,0,0,0,0,0,28.0,Oregon,Willamette Valley,Paul Gregutt,Pinot Noir,2009.0,1
France,1,1,0,0,0,0,0,36.0,Alsace,Crémant d'Alsace,Anne Krebiehl MW,Sparkling Blend,2011.0,3
US,0,0,0,0,0,0,0,50.0,California,Paso Robles,Matt Kettmann,Tempranillo,2012.0,0
Austria,0,0,1,0,0,0,0,25.0,Burgenland,Napa Valley,Anne Krebiehl MW,St. Laurent,2015.0,3
US,0,0,0,0,0,0,0,40.0,California,Sonoma County,Virginie Boone,Pinot Noir,2014.0,3
US,1,0,0,0,0,0,0,28.0,California,Sonoma County,Roger Voss,Sparkling Blend,0.0,2
Italy,0,1,0,0,0,0,0,25.0,Tuscany,Brunello di Montalcino,Roger Voss,Sangiovese Grosso,2005.0,2
US,0,0,0,0,0,0,0,60.0,Oregon,Eola-Amity Hills,Paul Gregutt,Pinot Noir,2008.0,1
Italy,0,0,0,0,0,0,0,65.0,Tuscany,Brunello di Montalcino,Roger Voss,Sangiovese Grosso,2007.0,3
US,0,0,0,0,0,0,1,32.0,California,Santa Maria Valley,Matt Kettmann,Chardonnay,2013.0,3
US,1,0,1,0,0,0,0,30.0,California,Napa Valley,Roger Voss,Sparkling Blend,2011.0,3
South Africa,1,0,1,0,0,1,0,15.0,Western Cape,Napa Valley,Lauren Buzzeo,Red Blend,2011.0,3
Portugal,0,0,0,0,0,0,0,18.0,Península de Setúbal,Napa Valley,Roger Voss,Portuguese White,2016.0,2
Italy,1,0,0,0,0,0,0,50.0,Sicily & Sardinia,Sicilia,Roger Voss,Red Blend,2010.0,3
Argentina,0,0,1,0,0,0,0,19.0,Mendoza Province,La Consulta,Michael Schachner,Cabernet Sauvignon,2015.0,2
Italy,1,1,0,0,0,0,0,25.0,Sicily & Sardinia,Sicilia,Kerin O’Keefe,Sparkling Blend,2012.0,3
France,1,0,0,0,0,0,0,18.0,Bordeaux,Haut-Médoc,Roger Voss,Bordeaux-style Red Blend,2013.0,1
Italy,0,0,1,0,0,0,0,14.0,Central Italy,Romagna,Roger Voss,Sangiovese,2011.0,1
US,1,1,0,0,0,0,0,35.0,California,Sonoma County,Virginie Boone,Red Blend,2014.0,2
France,0,1,0,1,0,0,0,26.0,Alsace,Alsace,Anne Krebiehl MW,Muscat,2015.0,3
Greece,1,0,1,0,0,0,0,79.0,Epanomi,Napa Valley,Susan Kostrzewa,Red Blend,2007.0,2
Germany,0,1,0,0,0,1,0,28.0,Mosel,Napa Valley,Anna Lee C. Iijima,Riesling,2013.0,3
US,0,0,0,0,0,0,0,18.0,California,Santa Barbara County,Roger Voss,Chardonnay,2006.0,1
US,0,0,1,0,0,0,0,50.0,California,Happy Canyon of Santa Barbara,Roger Voss,Cabernet Sauvignon,2008.0,1
US,0,0,0,0,0,1,0,35.0,California,Carneros,Virginie Boone,Chardonnay,2015.0,2
Australia,0,0,0,0,0,0,0,7.0,Australia Other,South Eastern Australia,Joe Czerwinski,Chardonnay,2007.0,1
Australia,0,0,0,0,0,0,0,40.0,Tasmania,Tasmania,Joe Czerwinski,Chardonnay,2014.0,3
Portugal,0,0,0,0,0,0,1,12.0,Alentejano,Napa Valley,Roger Voss,Portuguese White,2007.0,1
US,1,0,0,0,0,0,0,22.0,Washington,Horse Heaven Hills,Sean P. Sullivan,Bordeaux-style Red Blend,2013.0,2
US,0,0,0,0,0,1,0,14.0,California,Russian River Valley,Roger Voss,Viognier,2006.0,3
Portugal,0,0,0,0,0,0,0,25.0,Alentejano,Napa Valley,Roger Voss,Portuguese White,2010.0,1
Italy,0,0,0,0,1,0,0,39.0,Lombardy,Franciacorta,Kerin O’Keefe,Chardonnay,2009.0,1
US,0,0,1,0,0,1,0,56.0,California,Temecula Valley,Virginie Boone,Shiraz,2008.0,2
Portugal,0,0,1,0,0,0,0,40.0,Bairrada,Napa Valley,Roger Voss,Portuguese Red,2008.0,2
